date,Size USD
2024-06-24,403002.8
2024-06-25,103099.08
2024-06-26,365190.66000000003
2024-06-27,130486.95
2024-06-29,280095.11
2024-06-30,30520.69
2024-07-01,362670.14999999997
2024-07-02,33347.47
2024-07-03,179600.66
2024-07-04,430568.01
2024-07-05,272289.89
2024-07-06,2490.17
2024-07-07,498.75
2024-07-08,497.64
2024-07-09,2736.45
2024-07-10,687900.21
2024-07-11,169887.02
2024-07-12,89582.97
2024-07-13,139189.19
2024-07-14,84001.13
2024-07-15,198344.85
2024-07-16,144000.57
2024-07-17,626005.53
2024-07-18,649704.85
2024-07-19,150269.42
2024-07-20,244362.21
2024-07-21,234307.46
2024-07-22,304213.8
2024-07-23,358526.54
2024-07-24,69207.93
2024-07-25,528555.31
2024-07-26,548587.65
2024-07-27,905199.75
2024-07-28,43254.68
2024-07-29,327199.14
2024-07-30,36006.47
2024-07-31,84506.54
2024-08-01,227774.53
2024-08-02,396320.37
2024-08-03,290532.86
2024-08-04,1207744.07
2024-08-05,420495.4
2024-08-06,61478.38
2024-08-07,2492.77
2024-08-08,16299.35
2024-08-09,503204.86
2024-08-10,11339.29
2024-08-11,44230.21
2024-08-12,54167.32
2024-08-13,20797.87
2024-08-14,66710.03
2024-08-15,1522.3700000000001
2024-08-16,166382.84
2024-08-17,30248.96
2024-08-18,62804.48
2024-08-19,100315.03
2024-08-20,49914.8
2024-08-21,104990.41
2024-08-23,63509.56
2024-08-24,34999.67
2024-08-25,21950.28
2024-08-26,92611.27
2024-08-27,70250.16
2024-08-28,71160.06999999999
2024-08-29,9995.85
2024-08-30,37233.24
2024-08-31,107507.43000000001
2024-09-01,12359.68
2024-09-02,30000.42
2024-09-04,131480.97
2024-09-05,0.84
2024-09-06,39047.1
2024-09-08,0.11
2024-09-09,4014.4300000000003
2024-09-10,2547.28
2024-09-11,0.54
2024-09-14,1014.8000000000001
2024-09-18,13633.5
2024-09-19,1521.8700000000001
2024-09-20,332873.38
2024-09-21,165648.12
2024-09-22,19999.739999999998
2024-09-23,40334.29
2024-09-24,7118.63
2024-09-25,52754.130000000005
2024-09-26,113711.93000000001
2024-09-27,126097.04
2024-09-28,29199.21
2024-09-30,214669.85
2024-10-01,139954.32
2024-10-02,99954.34
2024-10-03,132935.69
2024-10-04,0.34
2024-10-05,605605.74
2024-10-06,300130.56
2024-10-07,219984.65
2024-10-08,434584.13
2024-10-09,220399.93
2024-10-10,300024.33999999997
2024-10-11,488904.19
2024-10-12,159713.4
2024-10-13,60002.42
2024-10-14,61916.020000000004
2024-10-15,81173.36
2024-10-16,80229.17
2024-10-17,140531.75
2024-10-18,120331.43000000001
2024-10-19,99996.86
2024-10-20,176447.86000000002
2024-10-21,324117.99
2024-10-22,60000.36
2024-10-23,210006.07
2024-10-25,427883.18
2024-10-27,90664.41
2024-10-28,121495.25
2024-10-29,613267.8099999999
2024-10-30,11830.85
2024-10-31,896173.36
2024-11-01,260981.03
2024-11-02,40000.0
2024-11-03,129055.66
2024-11-04,451811.97
2024-11-05,200627.23
2024-11-06,123906.9
2024-11-07,111335.3
2024-11-08,270700.44
2024-11-09,193384.41
2024-11-10,413636.7
2024-11-11,1570572.42
2024-11-12,1226354.52
2024-11-13,515336.37
2024-11-14,1008361.81
2024-11-15,1427858.42
2024-11-16,303296.07
2024-11-17,1215987.57
2024-11-18,2084339.58
2024-11-19,628031.15
2024-11-20,1999514.1199999999
2024-11-21,598300.62
2024-11-22,1646713.62
2024-11-23,516245.68
2024-11-24,664952.28
2024-11-25,937410.87
2024-11-26,1146902.44
2024-11-27,1444242.53
2024-11-28,1894225.15
2024-11-29,794262.91
2024-11-30,1732193.7
2024-12-01,814711.82
2024-12-02,585243.56
2024-12-03,1084666.53
2024-12-04,769287.65
2024-12-05,1256750.79
2024-12-06,3471019.22
2024-12-07,451733.42
2024-12-08,932939.72
2024-12-09,983949.68
